# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 74648, mean track length: 0.0
57767 4.691206187681089 2.883809373147842 0.8259936032027669 153 154 142 1.4832292364029451 
57765 4.0690964230281645 2.17402106617381 0.828150258232613 13 21 23 1.1246880059555109 
57760 4.554433940548696 2.281242526887999 0.855199642075269 115 118 101 1.1556223021769112 
57756 4.764561484844287 2.553162708533514 0.9282440086502033 27 29 24 1.0664737864677123 
57751 4.037700471142884 1.7960665438431545 1.2805214112794439 37 45 50 2.707745581769743 
57743 4.736466711786497 2.8043934805437156 0.34709763473510935 101 104 97 1.5480708603356614 
57739 4.084545934605288 2.3833913334011037 0.7841597326643209 219 201 177 0.41695931993784674 
57738 3.6188729679440943 2.1537871867395175 0.923247973396383 198 196 183 0.16180644583233167 
57723 4.572706100752733 2.0906536933630453 0.8579609480092778 113 113 89 0.8947083196575893 
57720 4.666491861285115 2.23256687510692 1.1344591485691895 217 219 216 0.6416791660155731 
57717 3.6721064082787773 2.226043459854572 0.7674103213480569 27 22 4 0.7271097834397727 
57712 3.9646468718112198 2.3915107232032637 0.8030550418313519 180 172 164 1.1469162585310173 
57711 3.753225956911532 2.0799125286193316 0.7791772361941438 177 165 139 0.627324647742116 
57706 3.9656362399596348 2.0592075863209223 0.7993122065712184 166 164 149 1.6811533706655943 
57700 4.486001385482427 2.377485550470867 0.7806637165705198 169 162 134 1.440375280815338 
57699 4.1358669735909395 1.9426798433461665 0.7771914025753545 9 5 2 0.735909218144835 
57695 4.472311781790597 2.212873688819889 0.8371498057487121 195 193 181 0.7386683478906939 
57690 4.438794170505124 2.1036628661075003 0.8603900857859172 94 95 79 0.8760884964324204 
57674 3.9796747528806753 2.1643869362341475 0.7993380668848925 214 218 219 1.0063451523535956 
57669 4.468829569712024 2.3505794789330485 0.7819935965650874 37 28 2 0.31831989025832064 
57668 3.4443981711299787 2.885893265794544 1.4395601694778466 49 50 46 1.5747299933690369 
57666 4.671658598461543 2.539157938820609 0.8037795119503499 29 20 0 0.6573735723360826 
57663 4.006110284935207 2.1215606878403 0.9487850358719101 93 99 99 0.7607113222486035 
57661 4.030531702439132 2.1253702496512066 0.9487438273834097 100 106 106 0.4556064806536816 
57659 4.855769889237071 2.668722425246028 0.9236091152643657 92 97 100 0.6555007104326944 
57643 3.9620094788882922 2.110390704136571 0.7478105247184679 190 194 195 2.419160343158002 
57640 3.8709658418049604 2.0605269705423854 0.8062187946415179 74 71 60 0.4696847522657746 
57637 4.179215750176507 2.4103362421710095 0.8303759626971015 107 112 107 0.6555760235218325 
57635 3.888398095272342 1.9401805220360175 0.7573678400228777 55 44 42 0.18641158876324504 
57629 4.427974904416917 2.3584041812269554 0.7782891015038074 55 49 25 0.6778356279907166 
57618 4.632140095043146 2.1771069657171918 0.9041538887276209 99 87 77 0.84930811281765 
57617 4.6435710879679934 2.1701829815833387 0.8984109221213635 99 87 77 0.9221104305235478 
57616 4.644083142554008 2.202019758006256 0.9376429322637508 19 20 12 1.1596861434264598 
57615 4.928458169150392 2.926431713206139 1.0826599850538186 244 239 234 0.26153659463275697 
57614 4.72859636626918 2.4223209631143474 1.0685950205565242 191 191 191 0.1296744955654337 
57611 3.643541715978708 2.251282788170912 0.7887586247793761 145 142 127 0.2661915540852796 
57606 3.634039278277636 2.1248502422486393 0.9017955706757467 165 162 147 0.1261368649099292 
57604 3.878549494196929 2.20189300534706 0.8437346379306612 221 225 226 1.550206019512372 
57599 4.052660718012835 2.2621041388726404 0.8364958587525974 40 44 45 1.0005192591396126 
57592 4.135868644596097 1.9327921473906333 0.7889614125939673 135 130 124 0.7193680067541265 
57591 4.522083099645448 2.2763834426606904 0.8017423227390608 62 61 41 0.2192863710116794 
57587 4.628519857146349 1.8893547660271424 0.7529260618957552 37 42 36 0.5749086988529555 
57586 4.8939069335014045 2.6491664165213136 1.0174255023805314 153 154 156 0.403301477804331 
57569 3.552200472079321 2.4884139165574495 0.8425138484174246 186 195 167 0.9710916371505577 
57566 2.9892403295541365 2.4077064924761102 0.7916152549094084 72 73 65 1.0881814210164995 
57562 3.5193047832561337 2.55584972749712 0.8347683509260526 160 154 55 1.1326373965938652 
57561 3.678206337177807 2.699251364143086 0.7955098756851376 9 17 22 1.316362796780306 
57560 3.2254765787161004 2.4798619358046383 0.8094111782799139 167 162 161 1.0357420174211343 
57558 3.116071783424692 2.5707378326888746 0.7813620808528866 28 25 18 1.290752994312168 
57552 3.5309328595229967 2.5558147697220015 0.8465774460948969 150 162 201 1.3482296555120756 
57551 3.145063828875038 2.5651449893985707 0.7802310021172492 171 164 140 1.1018225724435764 
57548 3.994765920295161 3.144798297661803 0.1744736504637725 41 45 56 1.6628049193969332 
57544 3.2801846436099895 2.1448916285617488 0.8350604526654132 177 184 194 2.061447226914177 
57542 2.9878057067021997 2.4053080659008765 0.8286927593263114 58 66 68 0.2781269884569678 
57531 3.2123692946880444 2.399856932339497 0.8274406462334075 187 194 200 1.297986868837779 
57527 3.9499149794907544 3.051600621034665 0.15907447252558216 3 8 12 1.9493996615816538 
57524 3.1096828286399023 2.231566248510385 0.8232770481973111 221 228 238 1.0715891378675675 
57519 3.979206302626789 3.106978798246159 0.12184979537469531 38 48 58 1.4169941022177384 
57518 3.169141475822212 2.5223611336939022 0.7854187577092053 189 195 161 1.156777335480693 
57511 3.01898550400454 2.544100034966595 0.7759597311319799 240 223 206 1.2922419117991235 
57509 3.1588050901915277 2.5723228532886973 0.785962865463646 7 18 14 0.9828093498607128 
57507 3.094571368434191 2.429958839400226 0.8211407780602926 223 224 244 1.049772523528615 
57505 3.1288416000575427 2.256919523589909 0.8216862433379502 175 182 188 0.13439161730903942 
57498 3.7790599815883636 2.6665339674108806 0.7973831677754876 15 18 23 0.9851426063263657 
57497 3.3572699485514383 2.948826746763549 0.1092381078638025 35 43 46 0.6649923988929208 
57480 3.3464171729675267 2.211930626976092 0.8279891552620354 157 148 138 1.8402942321967046 
57478 3.4621872563074656 2.0321480823441735 0.7683588228980351 68 80 70 1.7410485920124836 
57477 3.5960521094846163 2.260206591186487 0.7842673767901694 131 125 111 0.4930428056311558 
57474 3.4440407330325424 2.893811312577899 0.06569566453659559 62 70 72 0.1448933527914563 
57472 2.9825595970249545 2.5261329626290046 0.7729601804255494 186 153 65 0.460150361565989 
57471 2.989176791814333 2.467416805147094 0.777227939414185 147 128 75 0.8431136774076706 
57468 3.0874519446219173 2.432616087895462 0.8198738466630465 155 149 71 2.436718649182866 
57454 3.5273761365100373 2.484012764000979 0.8426005038450636 161 191 215 1.392495314861122 
57448 3.271960941883137 2.481261513667405 0.7725073895094471 108 117 148 1.0294272116752587 
57445 3.7469991707156707 2.5521676850877055 0.7997124855553425 68 67 62 1.086030738812765 
57438 3.9330967969036035 2.5672319856215466 0.7919807182298203 102 110 121 0.14260633977835724 
57426 3.5200166916269726 2.4643072514467117 0.8434330836639793 136 139 102 2.0762184688651515 
57425 4.180276367335595 2.4198200656938913 0.8029575454108506 7 6 4 1.661068687370501 
57404 4.191096181411833 1.9641172425001203 0.7955844314640305 123 125 121 0.3398153143260213 
57396 3.8429747407596273 2.617161192707306 0.8059731026216592 68 76 87 0.7125235386034503 
57391 4.150932337579819 1.9696670558523148 0.8152789692801459 7 14 24 0.3293382173452875 
57387 4.573458184338994 2.0902567267104386 0.8644925199299889 129 129 121 1.1525855260721776 
57363 4.690189445206835 2.5506226653091533 0.9202972123568909 230 238 249 1.870645402396313 
57362 4.883506217393662 2.706160552787919 0.8652825264001417 162 174 188 1.793185201327555 
57361 4.69522223276314 2.4139084957340464 0.9595756556862626 165 170 176 0.7569278534679782 
57357 4.716124503672013 2.4171282250924633 0.9576304814681702 62 67 73 2.4905609459206652 
57334 4.152738528968657 2.064330060099608 0.9016014402859062 25 34 43 1.172598910278144 
57330 4.75142413321149 2.3179265571489394 0.8982414866864649 231 241 245 2.4856043155477607 
57313 4.017771946398497 2.892624760951132 0.06435528851867067 133 145 159 0.6589005319920033 
57306 3.777327262874239 2.5772060687004155 0.813569224948543 52 61 70 0.7300909452294713 
57300 4.74407492057098 2.7919004751212952 0.6328611821214772 93 97 98 1.8754458265027585 
57292 4.73870016445502 2.420561595887821 0.9754598817617588 160 165 171 0.832743563628283 
57275 3.91966922176076 2.4837379724688593 0.7965025523530713 207 205 190 0.3309552721403539 
57272 4.050853441459035 2.562159049596469 0.8109409215532997 118 128 140 0.6399757342199525 
57271 4.093403284481141 2.5804261503689414 0.8108673164499108 100 103 110 0.9445489480923068 
57269 4.161259210571084 1.9342460648308408 0.7822324958788605 32 35 40 0.12718094192800214 
57267 4.35923597476878 2.3765476637947387 0.8168609436981404 157 151 129 0.015042238281895106 
57263 4.541849550902348 1.9100841615866941 0.8087402523636207 125 134 141 1.1076863093007585 
57259 4.65538636029627 2.5923812776771302 0.9283776852067772 136 145 154 0.5200153616596018 
57253 4.813944947522927 2.5995760973835647 0.9648966753897646 106 104 107 1.1801838576550083 
57252 4.907474197870972 2.9844123812139616 1.0445830668575153 218 239 244 0.14945821738573942 
57251 3.279310451155417 2.65867605551471 0.7780121077093081 168 168 192 0.3914609584694289 
57248 3.491203903416136 2.457939783774744 0.8570918354986871 117 136 108 1.223313951704753 
57242 3.6840074719209612 2.6094810036553686 0.8062346540901761 38 47 56 0.7712366688290663 
57240 3.6496514860662512 2.4866941755032954 0.8131853065488065 91 97 95 0.6783827096725228 
57230 3.9394598115781436 2.451683868131342 0.7760733018382585 78 79 73 0.6419162623250574 
57229 3.9242696738581473 2.447101803103182 0.7912742767223231 174 167 141 1.5912050799170503 
57225 3.9218793650569648 1.9442995294483711 0.8384504390550153 0 0 0 0.01703472255010796 
57222 4.104377905576927 1.9100470927006445 0.7703462154357398 143 147 145 1.8119285969863559 
57221 3.8347994900908273 2.135527172598696 0.9568510337853797 0 0 0 0.017813172883986008 
57217 3.8986327078506333 2.103420885987875 0.9553267765384832 57 68 74 1.4668685529090952 
57215 4.678507857267348 2.8745058167745277 0.750113858196937 22 26 27 1.2007584763205859 
57211 4.697809556209856 2.4851220599735027 0.7584372508492823 162 167 160 0.34974229785530236 
57210 4.466600159199391 2.337908094943828 0.8456991850926647 0 0 0 0.39562269392977323 
57209 4.4654632164037995 2.2077262615671795 0.8418628400518149 108 113 109 1.1786348074715394 
57207 4.397362434108985 2.0818047970659386 0.8743723049036534 137 142 146 0.9023401685870804 
57202 4.7992462519998496 2.7225286261143298 0.9131665310832888 148 162 175 0.09830163937877359 
57197 4.670695029527907 2.1909524697947544 0.9777163451940274 112 120 122 0.877314475920107 
57195 4.922525360516756 2.999848442674725 1.0257023329902484 144 163 181 1.0498209980966513 
57183 3.8419508167639416 2.627538769403154 0.8027193167597828 94 102 113 0.0670699190807527 
57181 3.7138981864583935 1.963281416262397 0.770923796974638 98 81 74 0.7298659104165894 
57180 3.972635748614171 2.6694278539431027 0.8004644552782355 88 96 109 0.8192894217815788 
57179 3.7684662352994764 2.12005680596308 0.807080670116165 82 77 67 1.5592871687726837 
57178 3.795643668363229 2.0914502697658977 0.7914557954085119 173 171 159 1.1728800722820674 
57177 3.7954945412261667 2.136611604561092 0.8062955594195645 177 167 165 1.7482391493369835 
57175 3.75875972523552 2.096094184621883 0.8415073281367524 35 33 28 0.17350525441994102 
57166 4.0562737008109595 2.2378711270008456 0.8304543160883807 51 61 63 1.6563433163233907 
57160 4.255945951165415 2.079181871660821 0.8137810316867132 79 88 95 0.25473822433931204 
57159 4.4439898590496885 2.4083655893676594 0.8119585224351132 91 89 77 0.3699760586028261 
57156 4.693058729743148 2.859805951882165 0.7676199295319024 92 98 103 0.5882868782389701 
57153 4.446549331714481 2.2469967218248783 0.8333730541994544 191 196 189 0.513280734899623 
57146 4.442769136876416 2.192570269132487 0.9601469431258292 50 56 68 0.7548610781896973 
57140 3.6190902365030766 2.378041080998324 0.776483941676432 134 132 120 0.1829102060702076 
57136 3.740300482999962 2.6664423491874705 0.8011375103648348 61 69 82 0.406980653461859 
57131 3.677340305771795 2.3737929912273703 0.7946463739260923 46 38 17 2.0501271079757597 
57130 4.615365041717391 2.5883911157171102 0.10951817582987466 94 102 113 0.2628789161916584 
57124 3.8349521287130615 2.463723796116654 0.7742014222146496 157 150 134 0.6007043546603063 
57115 4.026904195550197 2.3792942686120577 0.7662305487920008 209 177 157 0.4901828475391583 
57113 4.007083473614817 2.3764580014592482 0.789675205739345 170 157 149 1.1191992363770376 
57112 3.895983626784672 1.9586620339210858 0.7774305557054157 90 92 96 1.674570047925507 
57107 3.972924497933735 2.075584020256645 0.8246423446194282 172 179 185 0.20890553315482152 
57106 4.024565296660919 1.8995768729377223 0.7790853029001618 204 208 211 0.6265628020068263 
57104 4.0980499889351325 1.9710294112386475 0.8010393631884651 133 136 141 0.09197305304207312 
57098 4.209880462673584 1.9106291899609984 0.7934538262023721 53 60 68 0.8756158461262453 
57091 4.33006099028893 2.004426178186293 0.8135691107122395 16 23 31 1.1825625680246994 
57090 4.315077500025072 2.0024405922479294 0.8393260704590343 21 28 34 0.6486564666894641 
57086 4.698040424052651 2.872970272078226 0.8171494892651111 10 13 15 1.472061544889982 
57084 4.3808296976501095 2.1936742868206776 0.9584493977021555 135 139 140 1.4653716740762832 
57083 4.402541419791752 2.1861495202856673 0.9540474394317903 143 148 151 0.7531059160083535 
57071 3.799511714628307 2.2511065636632166 0.8042291468863291 28 28 68 1.1885951984196244 
57069 4.133728363961491 2.6647047458211657 0.7692818574598123 241 243 239 0.26651111902077346 
57064 4.093084586620525 2.5898685649562934 0.8054785245211219 32 39 47 0.6980488392517467 
57061 3.967986794700899 1.8733258081226554 0.8002600615625863 146 152 153 0.3329046532426786 
57053 4.198054685203629 1.9260738435093745 0.788438416195754 16 19 24 0.5674814340397188 
57050 4.3988719509117775 2.3851676424478123 0.7932457360247158 134 132 120 0.20920341659159386 
57049 4.3538370471261185 2.229964102753572 0.802245566701181 117 117 113 2.0659765097349974 
57037 4.768239372773931 2.764409736053606 0.5907140371244614 108 111 116 1.5159976465100704 
57025 3.6026970629221147 2.3510055440569473 0.776132219965599 189 190 162 1.5928239366070276 
57017 3.6515840678125095 2.5906404079376375 0.7767386003713813 183 173 151 1.4846781512443945 
57016 3.750532228260239 2.609832931779675 0.8079585490157486 45 50 57 1.6603259553902414 
57007 3.8745918999878364 2.4571710221886556 0.8740598191291233 215 223 236 1.536506332033801 
57003 3.445053659549907 2.467825894801889 0.8264953134915041 163 154 95 2.3746119043607306 
57001 4.110197627849375 3.0314824288374447 0.5656762849896837 79 92 101 1.402344328364979 
56992 4.502388070938562 2.686640818930886 0.06843833953573042 48 61 70 0.33081265617490696 
56989 4.075899130410098 2.0184007476027945 0.8024192680437583 49 56 64 0.956668023564863 
56984 4.048816861250303 3.041732429251908 0.5520796556927647 28 43 64 1.8862854924081376 
56979 3.776177285866891 1.9970884571820033 0.7870804777596101 39 40 37 1.0818678061779974 
56971 4.665314423793008 2.7118207359744604 0.7062238486100765 133 142 139 2.105851371911824 
56969 4.6720919271486006 2.4262448224209923 0.9356094072212147 82 94 106 1.3089073412206884 
56968 4.911913431311007 2.4227530314479457 0.869512877663194 117 127 137 0.6588788382446094 
56966 3.126443444006053 2.572984798551399 0.7782077469753153 150 142 130 2.0593272849507054 
56963 3.352051705505984 2.283779905580178 0.7987365640176834 0 0 0 2.927741907318488 
56958 3.5699909083483887 2.5229061519061355 0.8456365723300335 119 129 170 0.6491135590830097 
56954 3.8389630063644504 2.4910683634515314 0.8588606278966675 230 230 230 0.865685354666795 
56953 3.832893679469716 2.1127138942003643 0.8075831629959108 0 0 0 1.5774594618140894 
56951 4.075323388320227 2.367465935791359 0.772630274947329 176 131 96 0.08468011382262411 
56950 3.76093669802196 2.050372635588527 0.8976802621450934 53 58 64 1.0171454174029362 
56946 4.116601262868056 2.223721593180797 0.8204329458584707 185 194 203 0.7103131379697382 
56942 4.063140592669488 1.9372303756320286 0.8196746885032513 240 242 254 1.8240413175162251 
56936 3.5976910567705658 2.799279350771486 0.07040550847077531 95 107 121 1.216478182690558 
56935 3.7269556392024454 2.984426430388879 0.06058367377233109 84 96 110 1.2439420797673868 
56934 3.7585036372144653 2.9906986593586264 0.06849116614436879 85 97 111 1.2055252243252754 
56933 3.5676647083023663 2.673461648751078 0.05150956471579371 42 52 61 0.13335574550451673 
56932 3.888318383840815 2.8812782496529143 0.041956745960295194 94 106 120 0.6537153683628766 
56931 4.514756847163296 2.605199744648456 0.06669210685025129 31 40 47 1.1489116062425537 
56913 4.0000047014706475 3.0145520511556314 0.06347207657915477 85 101 114 0.5302442316097848 
56909 4.611323526599052 2.676185013848398 0.08660528487210617 41 51 61 1.3399011127623413 
56908 3.6094897889134088 2.5303375121161986 0.8228770409130785 19 28 11 1.2074473553878529 
56906 3.6765191568346376 2.5816392257019634 0.8105487286721753 0 0 0 1.6297540761444294 
56904 3.822839375826715 2.599243977803927 0.7999440576769026 49 58 67 0.24067743440719377 
56891 4.1608238973620875 1.9010100618772519 0.7634750146213845 209 212 217 0.6774964204091982 
56884 4.871136442283959 2.1545042368930902 0.8503400334141131 97 102 104 0.8329489319216723 
56882 4.007562132486052 3.2710288954443403 0.05350662415815566 86 96 108 0.5478949371803209 
56878 4.065396457749481 2.9969843595293018 0.059371606725103554 114 124 136 1.1427045053679143 
56876 3.3211470250810944 2.5042323859314988 0.7885768791096774 76 123 167 1.9466782562640506 
56873 3.6961503859341867 2.6912463916047002 0.796071786746375 54 62 75 1.3085269691633075 
56872 4.665521763229367 2.7611743543094818 0.09901242782138042 7 16 31 0.4944365986716149 
56871 3.6912717044628636 2.635727792398044 0.8016436788307789 40 49 58 0.5270514432003713 
56866 3.8127189365031446 2.6354374135516823 0.7983957952581958 93 101 112 0.3667563624598105 
56864 3.635439814276398 2.26943014074 0.7993609380619608 37 43 42 1.775664804483671 
56851 3.9846073971523994 2.0630831105585203 0.8408448513034272 197 200 205 0.6063969957837184 
56831 3.28717521925227 2.5281342716590265 0.7931830827803464 121 136 177 2.1020553304980165 
56825 3.68882183741112 2.658130856414468 0.8052344260861739 46 54 65 1.1229232742489421 
56822 3.715557533606184 2.6774410051632938 0.800508584003607 97 105 118 1.017430771708328 
56811 3.850582394935203 2.079695866592198 0.8230329807911151 187 192 186 0.3088113666183277 
56808 3.9526684910036076 2.03626421683752 0.8064668156047592 204 207 214 0.5021002247019852 
56803 4.047159022235993 2.199941869865017 0.842869136570921 23 42 46 0.8288583862330771 
56792 4.363518877045394 2.2008668337520554 0.7914273487218081 137 138 132 1.9786619653014288 
56790 4.561816581223123 2.3196244779888304 0.7490679196227897 164 161 152 0.917251716023435 
56785 4.491253471714157 2.1171584565252726 0.8620076709005023 165 169 168 1.2961081353434236 
56784 4.551418558383109 2.086750830349844 0.8542010619387899 152 156 155 1.0172848494864477 
56772 4.371688295589617 2.4869835361598978 0.07877478151347939 3 14 21 1.1860446561106863 
56748 3.778739790501671 2.049522194484488 0.8553472248176123 150 147 142 1.3942343843790637 
56739 3.9979098037919965 1.891309798815199 0.7702859625752496 205 209 211 1.3259403037269906 
56734 4.065839375182354 1.8714162086101556 0.7830004494591292 193 197 196 0.5213384780224456 
56725 4.099218583833077 1.9305454375156068 0.8457295610593408 14 23 40 2.2336763415275156 
56710 3.649192734603519 2.5240207674460122 0.7847387874177594 138 146 149 2.137292899178212 
56706 3.707428608029982 2.6218680432813466 0.8025796327159834 4 10 19 0.906875905667062 
56705 3.743222034933085 2.6919966009223133 0.8026745240635229 149 157 170 0.5923369995187667 
56703 3.6077718697108128 2.3785053471676956 0.79151231366538 158 150 142 0.4467956583513808 
56700 3.654834745871474 2.475186124135063 0.8186600629774887 157 148 139 0.7120313393299627 
56696 3.7268761323142785 2.4245321925930314 0.7801534156259566 194 187 161 1.2702636564041654 
56688 3.9424999490391626 2.63401081631221 0.7661596805403362 102 110 123 2.1067323095434576 
56686 3.792622133536341 2.444308877880921 0.8270190118494504 62 62 61 0.8353596204559275 
56685 3.788382435049095 2.3519555423795637 0.7975519875897903 138 120 98 0.6237135734598881 
56678 3.7923276443074934 2.1709075781099134 0.7993397133518085 126 85 99 0.26045947868025127 
56677 3.6088981374906552 2.084957153697328 0.8884780073036684 53 58 64 1.8783314732258767 
56676 3.9808116021003808 2.5779965826104965 0.8087935086156373 104 114 126 1.2022103881889417 
56675 4.0024116391872075 2.385489093499878 0.7847968864755711 172 132 107 0.40496205637503363 
56674 4.0118266384080306 2.3730416242931005 0.7837561277232544 129 111 107 0.7352909803341976 
56672 4.062412618045963 2.385532449997277 0.7809508795031456 192 177 156 0.5182380868413277 
56670 4.078473032987075 2.5648079135803883 0.8170991235429123 136 141 141 0.9057632451440659 
56667 4.096691654448716 2.376729039500976 0.7842037830372628 128 96 85 1.3500659085196542 
56666 3.9402688980130405 2.0637451025922853 0.7988348019002025 178 185 193 0.5450530438399327 
56661 4.147537367920293 2.3152157599616645 0.7806135575362791 143 144 136 1.2150354198244082 
56660 4.002201048987406 1.9226148363391269 0.7857159326541552 23 27 30 0.039408432001618116 
56659 4.031536903605844 1.905424957264447 0.7710144851340189 0 0 0 1.1863919816788773 
56658 3.9714968181479846 2.1036714386698128 0.842503597539963 175 180 186 0.9596968345869112 
56654 4.1784873396956925 2.402735344127904 0.8166388537661713 148 154 144 0.9321158496190612 
56653 4.079251898291744 2.094876290169441 0.8115798270706597 175 183 194 1.2786443581359521 
56652 4.128238421678989 1.9751814836795878 0.7793549712937562 6 14 23 0.6019284311736192 
56651 4.194909900211697 2.3825306214674766 0.8212094686512008 2 11 18 0.20981050914696453 
56649 4.691261239222864 2.749083785166958 0.6565030173891143 88 93 99 0.6586981140379171 
56647 4.128087716914887 1.8988746328241417 0.7817990132523918 212 215 220 1.0103995795420273 
56645 4.297827616409011 2.203359805282842 0.7881042447975141 21 33 41 0.22353952548660153 
56644 3.907016724784031 2.1034474752836894 0.9455463404723498 173 145 157 0.8302832226089798 
56641 4.352292651761746 2.1644216166939905 0.7921894264709819 146 147 138 0.5140837157859925 
56638 4.512558683358762 2.3276617930340335 0.7959120206290833 164 163 145 0.6357656634920076 
56633 4.493708186385515 2.2215866770231223 0.8316407731102134 101 105 105 0.7954375825487311 
56630 3.4785072905265473 2.6393614504514873 0.2641134993465837 85 99 125 1.6105909058687504 
56628 3.208897937918145 2.1712780235644353 0.6286219782394433 216 222 238 1.4548938986396522 
56625 3.7113602077324024 2.6721751898396526 0.7924723777387691 102 110 123 0.4386237310754011 
56621 3.616521869439859 2.424724715691629 0.7932696185177067 104 106 101 0.41437807970118606 
56620 3.675845236255268 2.5990628224359984 0.8160105548418214 58 67 76 0.8119501811699418 
56616 3.709730830576401 2.2649832047844027 0.7033231184853014 198 192 173 2.303570673504745 
56607 3.761362914714561 2.2568981260991205 0.8012693255666593 117 78 80 1.0724175837122365 
56605 3.930080939317874 2.4398743588691514 0.7821958461281071 166 160 133 1.0961217961281167 
56601 3.9613077948326807 2.1573411385657164 0.8214376514719828 160 170 180 0.13566749614532086 
56588 4.1834133815897445 1.9332911144055345 0.7931970560948985 66 69 74 0.27801901345473506 
56583 4.415091401529786 1.9435024492916393 0.8021179380086537 102 107 111 0.722115849432263 
56573 3.6504206244788704 2.4937509986802286 0.8318529024521231 151 141 131 0.7775686890694276 
56569 3.577988756474641 2.3065308839458476 0.7905777457014168 91 134 123 1.8813070111975039 
56566 3.4213647050431875 2.2131679515901883 0.7784078020744515 121 125 138 1.4396829564062819 
56565 3.2132767496015204 2.252597009990338 0.8278180249980878 170 180 194 1.475120384491774 
56564 3.7875902189087736 2.588939792606698 0.8083772562375685 22 31 44 1.3578638920109838 
