# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 570, mean observations per image: 0.0
34 0.302794 0.142764 -0.516236 0.788311 5.04083 1.37613 -0.603056 1 frame_000400.jpg

35 0.173074 0.0222573 -0.553259 0.814527 4.82667 1.76971 1.21634 1 frame_000410.jpg

36 0.0520489 -0.0460186 -0.584836 0.808171 4.05013 2.18725 2.41894 1 frame_000420.jpg

37 -0.0381346 -0.0973284 -0.606862 0.787903 3.22852 2.33455 3.21383 1 frame_000430.jpg

38 -0.0974716 -0.133813 -0.624258 0.763476 2.57073 2.30995 3.68296 1 frame_000440.jpg

39 -0.144316 -0.169539 -0.627381 0.746205 1.98051 2.29404 3.95797 1 frame_000450.jpg

40 -0.189104 -0.21269 -0.614181 0.73606 1.36613 2.34701 4.11011 1 frame_000460.jpg

41 -0.240277 -0.258769 -0.615059 0.704988 0.618835 2.22444 4.29267 1 frame_000470.jpg

42 -0.284923 -0.308953 -0.619127 0.663362 -0.124217 1.96552 4.40751 1 frame_000480.jpg

43 0.32656 0.362871 0.628757 -0.605268 -0.904268 1.52189 4.44501 1 frame_000490.jpg

44 0.32471 0.400142 0.655054 -0.552589 -1.20941 0.914598 4.50317 1 frame_000500.jpg

45 0.301315 0.419573 0.685536 -0.513039 -1.19648 0.328547 4.56158 1 frame_000510.jpg

46 0.25272 0.398825 0.731885 -0.49134 -0.692978 -0.251258 4.6482 1 frame_000520.jpg

47 0.21802 0.345384 0.785557 -0.464842 -0.0543875 -0.779318 4.62929 1 frame_000530.jpg

48 0.211354 0.303243 0.832613 -0.412467 0.289702 -1.33631 4.47887 1 frame_000540.jpg

49 0.216345 0.292424 0.862464 -0.351908 0.320787 -1.88852 4.25077 1 frame_000550.jpg

50 0.188111 0.308967 0.885574 -0.291398 0.350583 -2.5352 3.87248 1 frame_000560.jpg

51 0.156173 0.308606 0.903048 -0.254708 0.538484 -2.93352 3.55308 1 frame_000570.jpg

52 0.136251 0.267269 0.915984 -0.266412 1.03446 -2.84452 3.54344 1 frame_000580.jpg

53 0.100886 0.192041 0.922316 -0.319805 1.881 -2.32319 3.64035 1 frame_000590.jpg

54 0.074443 0.112962 0.912346 -0.386423 2.61691 -1.5231 3.67626 1 frame_000600.jpg

55 0.0467822 0.0343608 0.892738 -0.446823 3.21333 -0.68007 3.51228 1 frame_000610.jpg

56 0.0146172 -0.0565635 0.876328 -0.47816 3.73103 0.0597786 3.07612 1 frame_000620.jpg

57 -0.0143674 -0.153108 0.854081 -0.496888 4.08908 0.803347 2.51178 1 frame_000630.jpg

58 -0.0680087 -0.282906 0.8205 -0.492055 4.34639 1.62778 1.52991 1 frame_000640.jpg

59 -0.128566 -0.385759 0.777156 -0.480301 4.35074 2.22215 0.539081 1 frame_000650.jpg

60 -0.132049 -0.446089 0.766571 -0.442648 4.21806 2.53417 0.298427 1 frame_000660.jpg

61 -0.117644 -0.483161 0.772045 -0.395805 4.10887 2.67458 0.356328 1 frame_000670.jpg

62 -0.062083 -0.475411 0.794723 -0.372218 4.03374 2.57068 0.945734 1 frame_000680.jpg

63 -0.0233691 -0.456379 0.819973 -0.344698 4.01488 2.2689 1.39796 1 frame_000690.jpg

64 0.0150975 -0.427585 0.848947 -0.310212 3.98381 1.82475 1.83154 1 frame_000700.jpg

65 0.0335676 -0.407649 0.875468 -0.257394 4.02584 1.35844 2.00037 1 frame_000710.jpg

66 -0.0102687 -0.441688 0.876398 -0.191657 4.23194 1.33769 1.47869 1 frame_000720.jpg

67 0.483278 0.190634 -0.436742 0.734409 4.37127 0.116866 -1.90829 1 frame_000880.jpg

68 0.388815 0.153492 -0.493814 0.762503 4.54435 0.671594 -0.938096 1 frame_000890.jpg

69 0.25852 0.0894143 -0.591253 0.758678 4.60989 1.23158 0.57678 1 frame_000900.jpg

70 0.137872 0.0285917 -0.672831 0.726272 4.16316 1.34722 1.95416 1 frame_000910.jpg

71 -0.0634547 0.0271282 0.73304 -0.676675 3.69303 1.01461 2.89749 1 frame_000920.jpg

72 0.0126854 0.0940598 0.774493 -0.625422 3.00576 0.572141 3.71909 1 frame_000930.jpg

73 0.0641604 0.149383 0.815346 -0.55568 2.35255 -0.113138 4.19018 1 frame_000940.jpg

74 0.106972 0.216304 0.840539 -0.485041 1.58299 -0.859427 4.40334 1 frame_000950.jpg

75 0.135901 0.285471 0.856343 -0.408306 0.804343 -1.61652 4.3346 1 frame_000960.jpg

76 0.161341 0.353812 0.857875 -0.335911 -0.000555712 -2.20558 4.07966 1 frame_000970.jpg

77 0.169133 0.408346 0.853037 -0.277444 -0.588853 -2.61242 3.73199 1 frame_000980.jpg

78 0.168619 0.480417 0.829 -0.231359 -1.27537 -2.80984 3.36099 1 frame_000990.jpg

79 0.182876 0.548223 0.784652 -0.224343 -1.95603 -2.55668 3.2152 1 frame_001000.jpg

80 0.223598 0.613431 0.724772 -0.22003 -2.70081 -2.06243 3.03478 1 frame_001010.jpg

81 0.283976 0.67151 0.648297 -0.219416 -3.40085 -1.36107 2.75508 1 frame_001020.jpg

82 0.349537 0.704221 0.570059 -0.238599 -3.84511 -0.520214 2.51925 1 frame_001030.jpg

83 0.412744 0.708523 0.505979 -0.267625 -4.05835 0.233653 2.27813 1 frame_001040.jpg

84 0.482795 0.688498 0.446803 -0.305362 -4.1471 0.923704 1.98973 1 frame_001050.jpg

85 0.549921 0.659121 0.395185 -0.327073 -4.22482 1.39029 1.56003 1 frame_001060.jpg

86 0.598275 0.624853 0.363564 -0.345611 -4.25755 1.65627 1.26089 1 frame_001070.jpg

87 0.64637 0.558175 0.342077 -0.391957 -4.20934 1.91523 1.10681 1 frame_001080.jpg

88 0.689843 0.474092 0.299855 -0.457647 -4.073 2.29964 0.82241 1 frame_001090.jpg

89 0.470131 0.427954 0.562295 -0.528825 -2.60146 1.5593 3.44069 1 frame_001140.jpg

90 0.437354 0.484508 0.611974 -0.446612 -2.84363 0.645263 3.43108 1 frame_001150.jpg

91 0.398973 0.528096 0.652929 -0.368264 -2.9799 -0.159922 3.23809 1 frame_001160.jpg

92 0.354544 0.554998 0.688126 -0.304562 -2.94992 -0.820764 3.03924 1 frame_001170.jpg

93 0.309984 0.53129 0.739879 -0.272432 -2.56948 -1.42142 3.04994 1 frame_001180.jpg

94 0.259611 0.469773 0.801699 -0.263049 -1.85179 -1.92162 3.20578 1 frame_001190.jpg

95 0.1936 0.382092 0.861716 -0.271976 -0.846272 -2.24384 3.37258 1 frame_001200.jpg

96 0.140675 0.270719 0.910594 -0.27882 0.214331 -2.34627 3.40675 1 frame_001210.jpg

97 0.102063 0.167403 0.93738 -0.287886 1.10093 -2.19746 3.34946 1 frame_001220.jpg

98 0.0584659 0.052918 0.954532 -0.28749 2.02916 -1.91521 3.1202 1 frame_001230.jpg

99 0.0112415 -0.0591707 0.951923 -0.300358 2.86675 -1.37711 2.80989 1 frame_001240.jpg

100 -0.0216499 -0.147764 0.933683 -0.325474 3.41851 -0.72847 2.54583 1 frame_001250.jpg

101 -0.054729 -0.22606 0.907492 -0.3498 3.82104 -0.0603566 2.20552 1 frame_001260.jpg

102 -0.0898958 -0.288378 0.880351 -0.365703 4.10545 0.492726 1.79786 1 frame_001270.jpg

103 -0.116341 -0.346183 0.851449 -0.376373 4.26498 1.01433 1.4024 1 frame_001280.jpg

104 -0.12297 -0.396439 0.824763 -0.384032 4.29007 1.50447 1.14692 1 frame_001290.jpg

105 -0.142703 -0.435197 0.790608 -0.406423 4.27202 1.95243 0.790906 1 frame_001300.jpg

106 -0.173883 -0.471211 0.758398 -0.4154 4.2303 2.28802 0.322636 1 frame_001310.jpg

107 -0.207768 -0.483132 0.734033 -0.429664 4.22697 2.41907 -0.0967353 1 frame_001320.jpg

108 -0.244953 -0.501306 0.703379 -0.440395 4.15903 2.56158 -0.599264 1 frame_001330.jpg

109 -0.267032 -0.544758 0.667847 -0.431176 3.91055 2.88231 -1.07213 1 frame_001340.jpg

110 -0.278638 -0.585431 0.637762 -0.415802 3.61841 3.17752 -1.43584 1 frame_001350.jpg

111 0.273458 0.624337 -0.61937 0.389622 3.31999 3.48621 -1.6008 1 frame_001360.jpg

112 0.287071 0.67689 -0.585884 0.340808 2.82729 3.82097 -1.93528 1 frame_001370.jpg

113 0.303446 0.729763 -0.539696 0.289993 2.19657 4.15908 -2.23194 1 frame_001380.jpg

114 0.31193 0.745206 -0.522374 0.272934 1.95969 4.27013 -2.38026 1 frame_001390.jpg

115 0.289838 0.729434 -0.553968 0.27756 2.30256 4.33538 -2.17238 1 frame_001400.jpg

116 0.253582 0.700611 -0.608467 0.273145 2.87454 4.28271 -1.77942 1 frame_001410.jpg

117 0.202816 0.67487 -0.660322 0.259598 3.35838 4.24017 -1.18848 1 frame_001420.jpg

118 -0.190691 -0.635841 0.694941 -0.276406 3.76808 3.99267 -1.00775 1 frame_001430.jpg

119 -0.231959 -0.613884 0.687711 -0.310476 3.85505 3.78714 -1.4911 1 frame_001440.jpg

120 -0.30471 -0.607216 0.652264 -0.336144 3.69622 3.56139 -2.34264 1 frame_001450.jpg

121 -0.353606 -0.601191 0.619399 -0.360384 3.52951 3.35258 -2.90511 1 frame_001460.jpg

122 -0.390214 -0.556774 0.612028 -0.403929 3.76688 2.83339 -3.16876 1 frame_001470.jpg

123 0.187266 -0.0168072 -0.492042 0.850026 4.96066 1.6689 1.12686 1 frame_001540.jpg

124 0.0713842 -0.0785415 -0.485634 0.867695 4.17832 2.40367 1.9944 1 frame_001550.jpg

125 -0.0462447 -0.130731 -0.491374 0.859839 3.10444 2.9982 2.68916 1 frame_001560.jpg

126 -0.164013 -0.174953 -0.52119 0.819056 1.7845 3.21416 3.3276 1 frame_001570.jpg

127 -0.278445 -0.257504 -0.558197 0.737954 0.254926 2.82339 3.92435 1 frame_001580.jpg

128 -0.356011 -0.347507 -0.596582 0.629751 -1.05732 1.92601 4.1575 1 frame_001590.jpg

129 0.392859 0.447197 0.638353 -0.488039 -2.16498 0.688167 3.95314 1 frame_001600.jpg

130 0.438398 0.664714 0.546025 -0.260422 -3.84639 0.0843097 2.04969 1 frame_001620.jpg

131 0.482158 0.681742 0.479959 -0.269055 -3.987 0.652725 1.50246 1 frame_001630.jpg

132 0.581715 0.642095 0.383675 -0.319554 -3.96329 1.40579 0.727165 1 frame_001640.jpg

133 0.63264 0.574793 0.323093 -0.40619 -3.68641 1.99171 0.367704 1 frame_001650.jpg

134 0.634053 0.504957 0.325454 -0.486904 -3.38193 2.25927 0.514111 1 frame_001660.jpg

135 -0.17866 -0.533139 0.726415 -0.395178 2.02079 1.69332 0.69787 1 frame_001800.jpg

136 -0.243374 -0.63224 0.641687 -0.359555 1.76725 2.03277 0.129565 1 frame_001810.jpg

137 0.307042 0.685393 -0.562029 0.346533 1.4402 2.21217 -0.329805 1 frame_001820.jpg

138 0.396511 0.684792 -0.508934 0.338859 1.27764 2.1683 -0.809579 1 frame_001830.jpg

139 0.476139 0.648075 -0.472723 0.360311 1.18464 2.00283 -1.25167 1 frame_001840.jpg

140 0.525857 0.61599 -0.439921 0.387944 1.04938 1.86097 -1.59124 1 frame_001850.jpg

141 0.56087 0.567025 -0.425088 0.428027 1.02687 1.66623 -1.85872 1 frame_001860.jpg

142 0.553414 0.537327 -0.444988 0.45497 1.09455 1.63989 -1.89561 1 frame_001870.jpg

143 0.496099 0.552557 -0.511511 0.432346 1.18856 1.87529 -1.62721 1 frame_001880.jpg

144 -0.429491 -0.572239 0.575591 -0.395947 1.25423 2.07458 -1.31016 1 frame_001890.jpg

145 0.360636 0.61451 -0.603212 0.358407 1.12071 2.30069 -1.03204 1 frame_001900.jpg

146 0.294437 0.681179 -0.599993 0.29885 0.831771 2.53567 -0.736583 1 frame_001910.jpg

147 0.223124 0.784803 -0.5608 0.140722 0.438364 2.67567 -0.197557 1 frame_001930.jpg

148 0.183185 0.800831 -0.560485 0.104738 0.387435 2.67426 0.0347088 1 frame_001940.jpg

149 0.146384 0.762832 -0.616123 0.130585 0.628429 2.6277 0.126185 1 frame_001950.jpg

150 -0.124948 -0.690605 0.696166 -0.151017 1.02913 2.50253 0.210763 1 frame_001960.jpg

151 -0.132196 -0.587501 0.767354 -0.220307 1.45517 2.31834 0.128471 1 frame_001970.jpg

152 -0.167866 -0.382314 0.802618 -0.425984 2.03553 1.94449 -0.152797 1 frame_001990.jpg

153 -0.187776 -0.30356 0.779721 -0.514419 2.25041 1.78603 -0.33159 1 frame_002000.jpg

154 -0.209887 -0.240738 0.744987 -0.585651 2.43536 1.63123 -0.490765 1 frame_002010.jpg

155 -0.247073 -0.211322 0.696932 -0.639205 2.51497 1.50029 -0.804523 1 frame_002020.jpg

156 0.284305 0.189428 -0.640105 0.688152 2.5383 1.33776 -1.17771 1 frame_002030.jpg

157 0.33204 0.174393 -0.562844 0.736576 2.48142 1.04238 -1.64495 1 frame_002040.jpg

158 0.388172 0.175123 -0.48237 0.765489 2.32683 0.664177 -2.13025 1 frame_002050.jpg

159 0.449102 0.209266 -0.414169 0.763531 1.9633 0.372317 -2.5844 1 frame_002060.jpg

160 0.482548 0.268278 -0.404711 0.728961 1.61619 0.427563 -2.8531 1 frame_002070.jpg

161 0.490967 0.3413 -0.43718 0.671818 1.34532 0.762157 -2.96919 1 frame_002080.jpg

162 0.464105 0.402284 -0.477757 0.62811 1.19249 1.21465 -2.98031 1 frame_002090.jpg

163 0.422443 0.459063 -0.540211 0.564779 1.14933 1.79811 -2.8015 1 frame_002100.jpg

164 -0.38742 -0.516797 0.586309 -0.488947 1.0052 2.321 -2.56831 1 frame_002110.jpg

165 -0.359134 -0.562576 0.626254 -0.402912 0.901475 2.73706 -2.25511 1 frame_002120.jpg

166 -0.32577 -0.619997 0.643271 -0.309323 0.660232 3.14982 -1.84678 1 frame_002130.jpg

167 0.29457 0.812071 -0.467464 0.187739 -1.21041 3.43271 -1.25525 1 frame_002160.jpg

168 0.3332 0.848541 -0.372515 0.17375 -1.86769 3.11824 -1.27657 1 frame_002170.jpg

169 0.356475 0.873079 -0.294603 0.154488 -2.34461 2.82751 -1.17588 1 frame_002180.jpg

170 0.376946 0.886132 -0.230794 0.139344 -2.67094 2.5598 -1.09204 1 frame_002190.jpg

171 0.413757 0.88537 -0.180336 0.111371 -2.89283 2.37666 -0.991257 1 frame_002200.jpg

172 0.439435 0.877738 -0.157341 0.108243 -2.96221 2.32031 -1.02895 1 frame_002210.jpg

173 0.49234 0.846573 -0.162083 0.121018 -2.9234 2.29638 -1.35348 1 frame_002220.jpg

174 0.563093 0.800612 -0.164372 0.122186 -2.90353 2.19726 -1.68735 1 frame_002230.jpg

175 0.608725 0.759502 -0.173262 0.150302 -2.84562 2.02488 -2.08706 1 frame_002240.jpg

176 0.605596 0.745071 -0.210675 0.183678 -2.65649 2.07363 -2.40664 1 frame_002250.jpg

177 0.573254 0.743501 -0.27524 0.206953 -2.3015 2.37111 -2.61767 1 frame_002260.jpg

178 0.591448 0.696673 -0.309877 0.262321 -1.94975 2.15774 -3.13653 1 frame_002270.jpg

179 0.30285 0.789375 -0.47857 0.23694 -1.25951 3.66557 -1.7826 1 frame_002440.jpg

180 0.371113 0.81628 -0.374659 0.235782 -1.99664 3.14807 -1.98969 1 frame_002450.jpg

181 0.410466 0.827976 -0.317831 0.212029 -2.40164 2.88243 -1.90416 1 frame_002460.jpg

182 0.424506 0.829352 -0.296442 0.20998 -2.52609 2.75071 -1.89818 1 frame_002470.jpg

183 0.424546 0.82696 -0.296017 0.219711 -2.5099 2.71618 -1.95384 1 frame_002480.jpg

184 0.427849 0.821491 -0.299082 0.229451 -2.47056 2.68852 -2.03603 1 frame_002490.jpg

185 0.430064 0.820264 -0.301756 0.226176 -2.4577 2.70543 -2.02658 1 frame_002500.jpg

186 0.43339 0.819818 -0.300302 0.223363 -2.47026 2.70015 -2.01654 1 frame_002510.jpg

187 0.432597 0.820283 -0.299288 0.22455 -2.4783 2.69242 -2.01693 1 frame_002520.jpg

188 0.437377 0.820381 -0.295594 0.219775 -2.50773 2.67951 -1.99821 1 frame_002530.jpg

189 0.44025 0.820507 -0.295253 0.213949 -2.51802 2.69178 -1.97202 1 frame_002540.jpg

190 0.44395 0.819042 -0.29573 0.211241 -2.51712 2.69775 -1.97224 1 frame_002550.jpg

191 0.445948 0.816992 -0.297257 0.212821 -2.50483 2.69531 -1.99538 1 frame_002560.jpg

192 0.445395 0.817233 -0.298543 0.211249 -2.50042 2.70896 -1.98501 1 frame_002570.jpg

193 0.451837 0.815148 -0.298086 0.206209 -2.50419 2.71014 -1.97959 1 frame_002580.jpg

194 0.451266 0.814718 -0.297354 0.210175 -2.50492 2.6959 -1.99888 1 frame_002590.jpg

195 0.450307 0.815248 -0.297196 0.210403 -2.50651 2.69641 -1.99555 1 frame_002600.jpg

196 0.449785 0.815483 -0.297302 0.210458 -2.50652 2.69979 -1.99496 1 frame_002610.jpg

197 0.450342 0.815774 -0.296448 0.209341 -2.51435 2.7003 -1.99072 1 frame_002620.jpg

198 0.459747 0.812013 -0.291381 0.210628 -2.5349 2.65517 -2.03424 1 frame_002630.jpg

199 0.521324 0.784725 -0.268885 0.200324 -2.61969 2.43768 -2.19612 1 frame_002640.jpg

200 0.57559 0.763153 -0.227843 0.185422 -2.81143 2.16702 -2.20859 1 frame_002650.jpg

201 0.581909 0.780672 -0.173531 0.147717 -3.11578 2.03178 -1.80346 1 frame_002660.jpg

202 0.53924 0.81556 -0.160513 0.135349 -3.19042 2.08966 -1.5068 1 frame_002670.jpg

203 0.498903 0.82992 -0.197857 0.152254 -2.99243 2.28481 -1.58303 1 frame_002680.jpg

204 0.444946 0.830934 -0.272924 0.19257 -2.50456 2.59328 -1.81433 1 frame_002690.jpg

205 0.398837 0.839319 -0.314698 0.193487 -2.19214 2.83669 -1.70141 1 frame_002700.jpg

206 0.385403 0.866213 -0.266882 0.172956 -2.45993 2.68004 -1.41708 1 frame_002710.jpg

207 0.403425 0.891 -0.158275 0.135336 -2.97341 2.17255 -1.02541 1 frame_002720.jpg

208 0.408475 0.907499 -0.0295706 0.0933789 -3.37917 1.52645 -0.463601 1 frame_002730.jpg

209 0.420431 0.903523 0.0734047 0.0386853 -3.51642 1.08538 0.14871 1 frame_002740.jpg

210 0.47719 0.866572 0.145738 -0.0101904 -3.53627 0.844023 0.531485 1 frame_002750.jpg

211 0.540737 0.81432 0.193788 -0.0832618 -3.45468 0.911786 0.971078 1 frame_002760.jpg

212 0.597365 0.759504 0.215397 -0.141115 -3.36793 1.1304 1.20741 1 frame_002770.jpg

213 0.650951 0.705999 0.217994 -0.174087 -3.33846 1.36676 1.20732 1 frame_002780.jpg

214 0.69954 0.647787 0.227522 -0.198116 -3.33974 1.52699 1.17633 1 frame_002790.jpg

215 0.761535 0.595589 0.192976 -0.167628 -3.51174 1.50013 0.649141 1 frame_002800.jpg

216 0.812621 0.553672 0.139826 -0.116379 -3.5992 1.42342 -0.0508313 1 frame_002810.jpg

217 0.846015 0.523839 0.0725854 -0.0676964 -3.57259 1.37133 -0.800989 1 frame_002820.jpg

218 0.292403 0.676323 -0.574696 0.356106 0.115634 3.45469 -2.28333 1 frame_002990.jpg

219 0.303871 0.740506 -0.503467 0.325321 -0.620127 3.43994 -2.22428 1 frame_003000.jpg

220 0.293254 0.798164 -0.435843 0.294919 -1.28759 3.34966 -2.01518 1 frame_003010.jpg

221 0.28627 0.844307 -0.367862 0.264335 -1.90359 3.16954 -1.78413 1 frame_003020.jpg

222 0.302919 0.881421 -0.292835 0.213505 -2.51778 2.89171 -1.46604 1 frame_003030.jpg

223 0.300755 0.903142 -0.239432 0.191187 -2.87593 2.62398 -1.23738 1 frame_003040.jpg

224 0.281886 0.916207 -0.208526 0.193964 -3.02695 2.40233 -1.15894 1 frame_003050.jpg

225 0.243374 0.933166 -0.185389 0.18868 -3.18116 2.27309 -0.935336 1 frame_003060.jpg

226 0.248652 0.942285 -0.161076 0.155962 -3.29406 2.16172 -0.66627 1 frame_003070.jpg

227 0.352438 0.911809 -0.158158 0.139203 -3.2115 2.16954 -0.879703 1 frame_003080.jpg

228 0.440434 0.877692 -0.138944 0.12794 -3.21418 2.03393 -1.04729 1 frame_003090.jpg

229 0.48454 0.861032 -0.104819 0.11339 -3.28143 1.85747 -0.979123 1 frame_003100.jpg

230 0.48116 0.869436 -0.060975 0.0940692 -3.38985 1.64606 -0.684688 1 frame_003110.jpg

231 0.396396 0.912838 -0.0138904 0.0969838 -3.51699 1.30949 -0.311731 1 frame_003120.jpg

232 0.32795 0.940363 0.0126813 0.0894689 -3.55859 1.09726 -0.0387175 1 frame_003130.jpg

233 0.296408 0.952083 0.061056 0.0441911 -3.58848 0.810564 0.413791 1 frame_003140.jpg

234 0.382302 0.913318 0.140302 0.00333739 -3.36244 0.650167 0.767837 1 frame_003290.jpg

235 0.420104 0.904524 0.0688431 0.0246891 -3.32874 1.09834 0.352506 1 frame_003300.jpg

236 0.455018 0.889991 0.0233451 0.0181675 -3.20119 1.44231 0.144003 1 frame_003310.jpg

237 0.49315 0.869622 -0.0169335 0.0165878 -3.05345 1.72204 -0.119371 1 frame_003320.jpg

238 0.530931 0.845937 -0.0437981 0.0241807 -2.92279 1.85776 -0.404732 1 frame_003330.jpg

239 0.57384 0.815511 -0.0623857 0.0419208 -2.82942 1.88064 -0.734421 1 frame_003340.jpg

240 0.602369 0.788944 -0.0935481 0.0772535 -2.69481 1.88164 -1.12634 1 frame_003350.jpg

241 0.60799 0.76946 -0.145081 0.13127 -2.42834 1.89564 -1.56068 1 frame_003360.jpg

242 0.563221 0.775162 -0.218433 0.184913 -2.02051 2.08735 -1.79642 1 frame_003370.jpg

243 0.494889 0.788932 -0.279722 0.233298 -1.66188 2.28842 -1.81441 1 frame_003380.jpg

244 0.465534 0.805169 -0.292734 0.222008 -1.59152 2.39413 -1.61079 1 frame_003390.jpg

245 0.449235 0.830627 -0.261082 0.200209 -1.74736 2.34931 -1.36137 1 frame_003400.jpg

246 0.463317 0.843921 -0.211664 0.168322 -1.92643 2.22197 -1.17578 1 frame_003410.jpg

247 0.492117 0.844511 -0.161056 0.136688 -2.07165 2.08225 -1.05156 1 frame_003420.jpg

248 0.508956 0.838797 -0.126325 0.146375 -2.14238 1.91796 -1.10983 1 frame_003430.jpg

249 0.520254 0.837646 -0.0961757 0.135777 -2.19732 1.83545 -1.08016 1 frame_003440.jpg

250 0.485051 0.863715 -0.0759786 0.113792 -2.24128 1.86917 -0.859636 1 frame_003450.jpg

251 0.428529 0.895391 -0.0687422 0.0995611 -2.25144 1.92412 -0.615063 1 frame_003460.jpg

252 0.376626 0.919244 -0.0725348 0.0887839 -2.21902 1.98243 -0.397826 1 frame_003470.jpg

253 0.350872 0.931367 -0.0735433 0.0635277 -2.15905 2.01059 -0.20646 1 frame_003480.jpg

254 0.341323 0.933253 -0.0844948 0.0734675 -2.07477 2.01582 -0.219203 1 frame_003490.jpg

255 0.339888 0.926269 -0.129785 0.0982776 -1.85589 2.10435 -0.342191 1 frame_003500.jpg

256 0.316116 0.920072 -0.19265 0.128161 -1.58439 2.2155 -0.392018 1 frame_003510.jpg

257 0.290804 0.913618 -0.231671 0.164512 -1.43052 2.24892 -0.427685 1 frame_003520.jpg

258 0.256811 0.907766 -0.265434 0.198884 -1.34184 2.27063 -0.421364 1 frame_003530.jpg

259 0.213405 0.908479 -0.300863 0.19648 -1.23841 2.32039 -0.248823 1 frame_003540.jpg

